,price_doc
506,990000
507,6500000
508,5700000
509,11000000
510,14200000
511,5850000
512,15000000
513,12300000
514,5490400
515,9800000
516,2000000
517,6300000
518,2000000
519,4000000
520,5400000
521,6700000
522,5900000
523,1000000
524,6500000
525,6450000
526,7800000
527,1000000
528,4320000
529,7600000
530,4950000
531,5300000
532,8100000
533,7175000
534,4800000
535,11200000
536,5200000
537,4700000
538,1000000
539,4950000
540,7200000
541,2000000
542,4500000
543,2990000
544,8400000
545,8800000
546,7650000
547,5500000
548,4900000
549,5850000
550,5050000
551,5500000
552,6900000
553,5450000
554,6600000
555,990000
556,4300000
557,7800000
558,1000000
559,10100958
560,7250000
561,9672200
562,8400000
563,7300000
564,2000000
565,5400000
566,6400000
567,9100000
568,4400000
569,8400000
570,5100000
571,6000000
572,11200000
573,1000000
574,5800000
575,1500000
576,2000000
577,4250000
578,5500000
579,990000
580,990000
581,1000000
582,7200000
583,4500000
584,5700000
585,4250000
586,1800000
587,4500000
588,2000000
589,5200000
590,8300000
591,990000
592,8900000
593,6000000
594,4414000
595,6300000
596,10188000
597,8200000
598,12000000
599,6000000
600,4200000
601,779396
602,4700000
603,4400000
604,5800000
605,10250000
606,13400000
607,9800000
608,5800000
609,6100000
610,4500000
611,5200000
612,21000000
613,1100000
614,6650000
615,9200000
616,5800000
617,9500000
618,990000
619,1050000
620,4500000
621,8200000
622,4150000
623,9100000
624,16118400
625,1000000
626,17500000
627,5500000
628,5000000
629,5400000
630,6200000
631,18408464
632,2750000
633,999000
634,340000
635,4800000
636,6300000
637,2000000
638,1000000
639,900000
640,4150000
641,9100000
642,1000000
643,7900000
644,5800000
645,1000000
646,5000000
647,2000000
648,1000000
649,5744772
650,9100000
651,12400000
652,4100000
653,4700000
654,7500000
655,5000000
656,5500000
657,6650000
658,18300000
659,1000000
660,5550000
661,1007000
662,1000000
663,26700000
664,6300000
665,11500000
666,4900000
667,4100000
668,5750000
669,1000000
670,6500000
671,5200000
672,2000000
673,5940000
674,5800000
675,6300000
676,2000000
677,1050000
678,4600000
679,5100000
680,1000000
681,5150000
682,5500000
683,6200000
684,5500000
685,8600000
686,3466666
687,1500000
688,6300000
689,5450000
690,5550000
691,5370000
692,8200000
693,7000000
694,17381290
695,9400000
696,4900000
697,3850000
698,6350000
699,8579000
700,4600000
701,4000000
702,3150000
703,990000
704,5200000
705,4200000
706,7100000
707,6700000
708,6650000
709,4400000
710,2000000
711,6000000
712,990000
713,5600000
714,7400000
715,5850000
716,8000000
717,10500000
718,2000000
719,1387500
720,4250000
721,16750000
722,5800000
723,7217000
724,4500000
725,6800000
726,24000000
727,4990000
728,4830000
729,5200000
730,4650000
731,9200000
732,9000000
733,5400000
734,5450000
735,5300000
736,6850000
737,6100000
738,4250000
739,5000000
740,7100000
741,5250000
742,4400000
743,500000
744,4950000
745,9270000
746,8300000
747,1000000
748,4900000
749,10500000
750,4800000
751,5700000
752,7000000
753,8000000
754,1000000
755,7900000
756,8965200
757,7000000
758,4500000
759,1100000
760,5700000
761,11400000
762,6450000
763,4815040
764,8500000
765,6900000
766,995000
767,7000000
768,4650000
769,7899618
770,2000000
771,8300000
772,6200000
773,8650000
774,3700000
775,7950000
776,8750000
777,5850000
778,4750000
779,8000000
780,5500000
781,11500000
782,6800000
783,23435712
784,2850000
785,990000
786,23500000
787,4300000
788,6000000
789,6095200
790,6200000
791,5640000
792,6600000
793,5800000
794,6150000
795,5000000
796,7150000
797,6300000
798,4500000
799,5500000
800,8400000
801,990000
802,9800000
803,6200000
804,11700000
805,6250000
806,7400000
807,5000000
808,3965000
809,11000000
810,2060000
811,9464000
812,2000000
813,1000000
814,8500000
815,1300000
816,5200000
817,5600000
818,1000000
819,5450000
820,5500000
821,5100000
822,7485000
823,7900000
824,8794500
825,1000000
826,6150000
827,6500000
828,6050000
829,5800000
830,16700000
831,10982850
832,5000000
833,12500000
834,18668824
835,5900000
836,3600000
837,2100000
838,6383500
839,2285500
840,9200000
841,1030000
842,6616500
843,6200000
844,14500000
845,5650000
846,5300000
847,8300000
848,3950000
849,4000000
850,5300000
851,4900000
852,6300000
853,6400000
854,472249
855,4850000
856,1000000
857,5850000
858,552312
859,5300000
860,1000000
861,5000000
862,5500000
863,5300000
864,9090000
865,1100000
866,7400000
867,4200000
868,2500000
869,13950000
870,2000000
871,10726400
872,5150000
873,10650000
874,6100000
875,9000000
876,7900000
877,36700000
878,5000000
879,1800000
880,7250000
881,6500000
882,7800000
883,5750000
884,6100000
885,5300000
886,6300000
887,4650000
888,5800000
889,6500000
890,990000
891,6200000
892,10000000
893,10500000
894,5495850
895,1447000
896,10000000
897,5700000
898,999000
899,6518719
900,5400000
901,1100000
902,6800000
903,6500000
904,5850000
905,8100000
906,990000
907,5900000
908,7800000
909,5500000
910,17500000
911,5000000
912,5750000
913,6300000
914,9000000
915,4800000
916,8100000
917,5600000
918,13500000
919,4200000
920,7000000
921,4500000
922,6250000
923,9500000
924,3300000
925,5300000
926,12186207
927,4800000
928,6950000
929,4900000
930,6830000
931,7400000
932,5750000
933,6500000
934,4150000
935,990000
936,5000000
937,21742504
938,10900000
939,6800000
940,990000
941,9000000
942,2775000
943,1000000
944,3500000
945,5500000
946,5700000
947,6250000
948,17500000
949,4300000
950,13000000
951,12500000
952,15100000
953,5250000
954,16000000
955,17582888
956,4500000
957,6100000
958,5500000
959,7200000
960,7200000
961,9800000
962,1000000
963,6400000
964,8130000
965,1000000
966,2200000
967,6400000
968,6700000
969,7450000
970,18477800
971,9800000
972,5000000
973,5550000
974,3000000
975,6050000
976,5050000
977,5500000
978,6050000
979,4700000
980,15719542
981,5800000
982,6800000
983,7350000
984,8500000
985,5200000
986,4600000
987,7500000
988,8000000
989,990000
990,4800000
991,9300000
992,6500000
993,5500000
994,7605000
995,9356400
996,4150000
997,26056764
998,20200452
999,7250000
1000,5500000
1001,5300000
1002,7300000
1003,4300000
1004,18237600
1005,7500000
1006,6800000
1007,6100000
1008,16000000
1009,12876423
1010,1000000
1011,10300000
1012,11000000
1013,2000000
1014,11100000
1015,6750000
1016,6260000
1017,4600000
1018,6790000
1019,6523800
1020,6780000
1021,5150000
1022,5800000
1023,9200000
1024,5000000
1025,5200000
1026,5400000
1027,5700000
1028,5400000
1029,2000000
1030,6250000
1031,6400000
1032,5800000
1033,5100000
1034,25000000
1035,3500000
1036,5600000
1037,5500000
1038,1000000
1039,1000000
1040,5900000
1041,15450000
1042,9200000
1043,5100000
1044,2735000
1045,990000
1046,5150000
1047,17000000
1048,5100000
1049,5600000
1050,6900000
1051,1000000
1052,999900
1053,6000000
1054,5650000
1055,11000000
1056,6500000
1057,30000000
1058,1200000
1059,2000000
1060,8000000
1061,5700000
1062,6200000
1063,4550000
1064,4500000
1065,5670000
1066,1000000
1067,4750000
1068,5650000
1069,8200000
1070,5500000
1071,12000000
1072,1200000
1073,8900000
1074,5700000
1075,18000000
1076,5100000
1077,1000000
1078,10300000
1079,2000000
1080,1000000
1081,6500000
1082,4700000
1083,13800000
1084,6200000
1085,3000000
1086,3625000
1087,6200000
1088,10800000
1089,5000000
1090,4800000
1091,4600000
1092,7000000
1093,4680000
1094,5200000
1095,18400000
1096,5500000
1097,1200000
1098,7644000
1099,1700000
1100,5700000
1101,4152000
1102,4900000
1103,995000
1104,8200000
1105,7400000
1106,6000000
1107,4600000
1108,6700000
1109,990000
1110,7400000
1111,2500000
1112,15300000
1113,38262992
1114,5100000
1115,5700000
1116,8300000
1117,2000000
1118,6100000
1119,4500000
1120,7300000
1121,4250000
1122,7500000
1123,9500000
1124,28000000
1125,5616666
1126,4190000
1127,5350000
1128,7150000
1129,2000000
1130,2000000
1131,7990000
1132,5200000
1133,8400000
1134,4400000
1135,5700000
1136,6500000
1137,5650000
1138,7500000
1139,4900000
1140,12300000
1141,5900000
1142,2864000
1143,5150000
1144,4600000
1145,6300000
1146,9700000
1147,5700000
1148,5133000
1149,500000
1150,6100000
1151,16000000
1152,8100000
1153,16758000
1154,5609200
1155,6700000
1156,5000000
1157,2000000
1158,2980000
1159,6300000
1160,11522618
1161,5600000
1162,6050000
1163,5500000
1164,5000000
1165,5100000
1166,3000000
1167,190000
1168,4800000
1169,200000
1170,6400000
1171,11490000
1172,2000000
1173,13200000
1174,20452438
1175,5500000
1176,22500000
1177,4430000
1178,10300000
1179,2000000
1180,15000000
1181,18000000
1182,9000000
1183,25150000
1184,5300000
1185,3500000
1186,9300000
1187,5300000
1188,6300000
1189,12000000
1190,1000000
1191,4700000
1192,7700000
1193,9150000
1194,11000000
1195,6750000
1196,6250000
1197,8695696
1198,9500000
1199,3166666
1200,30975000
1201,9500000
1202,6300000
1203,12000000
1204,6650000
1205,10600000
1206,1100000
1207,12363265
1208,6100000
1209,5654800
1210,5970000
1211,7500000
1212,5750000
1213,5600000
1214,9300000
1215,1000000
1216,11564400
1217,2000000
1218,5300000
1219,5400000
1220,4100000
1221,7800000
1222,5300000
1223,8500000
1224,5550000
1225,5650000
1226,4750000
1227,5500000
1228,4990000
1229,3600000
1230,5700000
1231,8000000
1232,4750000
1233,5900000
1234,13200000
1235,5650000
1236,999000
1237,10900000
1238,9750000
1239,8700000
1240,2000000
1241,7800000
1242,1000000
1243,5850000
1244,6300000
1245,1000000
1246,5600000
1247,5500000
1248,7200000
1249,2000000
1250,5200000
1251,4125000
1252,6000000
1253,11500000
1254,2000000
1255,4850000
1256,5700000
1257,5350000
1258,8000000
1259,919584
1260,990000
1261,9600000
1262,354289
1263,2000000
1264,9000000
1265,3900000
1266,1000000
1267,10500000
1268,7000000
1269,10400000
1270,8247360
1271,3000000
1272,11900000
1273,4800000
1274,8900000
1275,8500000
1276,4900000
1277,5950000
1278,4800000
1279,990000
1280,1000000
1281,6900000
1282,13700000
1283,4600000
1284,14350000
1285,7400000
1286,3800000
1287,8800000
1288,13550000
1289,20852812
1290,4500000
1291,6900000
1292,1000000
1293,6700000
1294,5100000
1295,9200000
1296,9100000
1297,2000000
1298,1000000
1299,4000000
1300,7500000
1301,1000000
1302,1000000
1303,4000000
1304,11400000
1305,6700000
1306,2450000
1307,7750000
1308,6650000
1309,990000
1310,5600000
1311,5500000
1312,5000000
1313,7000000
1314,2750000
1315,990000
1316,16950000
1317,16621165
1318,7700000
1319,5090000
1320,5700000
1321,6300000
1322,14800000
1323,13971328
1324,6250000
1325,5600000
1326,7600000
1327,4900000
1328,5700000
1329,7000000
1330,9700000
1331,24500000
1332,10000000
1333,1000000
1334,6500000
1335,5600000
1336,5700000
1337,11959135
1338,8800000
1339,6800000
1340,2000000
1341,9500000
1342,1000000
1343,2000000
1344,3400000
1345,6000000
1346,7600000
1347,9200000
1348,4800000
1349,7300000
1350,7520000
1351,11564400
1352,6200000
1353,3225000
1354,7000000
1355,5333333
1356,2000000
1357,7900000
1358,5000000
1359,8500000
1360,1333333
1361,4300000
1362,5800000
1363,4000000
1364,10200000
1365,5200000
1366,10200000
1367,5900000
1368,8300000
1369,15667576
1370,18327100
1371,990000
1372,6500000
1373,8500000
1374,10000000
1375,6500000
1376,990000
1377,5846000
1378,1000000
1379,16300000
1380,5500000
1381,990000
1382,6400000
1383,20500000
1384,3000000
1385,4500000
1386,4500000
1387,8000000
1388,2100000
1389,7565000
1390,6000000
1391,6000000
1392,7300000
1393,5000000
1394,5350000
1395,4870000
1396,11500000
1397,4500000
1398,5000000
1399,6200000
1400,9500000
1401,8400000
1402,3400000
1403,6500000
1404,6350000
1405,2000000
1406,4900000
1407,2050000
1408,15100000
1409,9200000
1410,990000
1411,1000000
1412,6300000
1413,1000000
1414,5865000
1415,11600000
1416,5400000
1417,4500000
1418,8300000
1419,5500000
1420,6550000
1421,1500000
1422,1000000
1423,6000000
1424,5500000
1425,8624000
1426,1500000
1427,5800000
1428,8650000
1429,6600000
1430,1800000
1431,1000000
1432,1000000
1433,11454000
1434,5900000
1435,5300000
1436,5200000
1437,6000000
1438,6300000
1439,6400000
1440,7850000
1441,6900000
1442,5700000
1443,9500000
1444,8100000
1445,6900000
1446,6500000
1447,6000000
1448,9300000
1449,4500000
1450,6000000
1451,6300000
1452,6500000
1453,7100000
1454,5500000
1455,11700000
1456,6500000
1457,8150000
1458,4600000
1459,16000000
1460,6100000
1461,6700000
1462,5000000
1463,9650000
1464,8700000
1465,15750000
1466,1200000
1467,5500000
1468,4900000
1469,7200000
1470,11000000
1471,5750000
1472,8020000
1473,7350000
1474,8500000
1475,6600000
1476,5300000
1477,3600000
1478,4750000
1479,7250000
1480,9000000
1481,5700000
1482,6150000
1483,9000000
1484,5300000
1485,5800000
1486,8000000
1487,6750000
1488,500000
1489,4400000
1490,7000000
1491,7400000
1492,25910000
1493,5200000
1494,6302400
1495,1500000
1496,12999999
1497,5662144
1498,6000000
1499,7450000
1500,6050000
1501,6700000
1502,6400000
1503,5050000
1504,7000000
1505,7700000
1506,6000000
1507,7300000
1508,2000000
1509,12850000
1510,11676000
1511,6450000
1512,8300000
1513,6600000
1514,10400000
1515,2000000
1516,7750000
1517,6600000
1518,1500000
1519,8350000
1520,13800000
1521,990000
1522,6350000
1523,11000000
1524,22836368
1525,5900000
1526,22000000
1527,6300000
1528,12900000
1529,1500000
1530,6700000
1531,4500000
1532,4000000
1533,1500000
1534,5100000
1535,14000000
1536,8100000
1537,4800000
1538,6800000
1539,4400000
1540,7650000
1541,5250000
1542,10350000
1543,8400000
1544,6200000
1545,6250000
1546,6650000
1547,7750000
1548,2000000
1549,6500000
1550,5550000
1551,5750000
1552,6240000
1553,10000000
1554,4100000
1555,8832350
1556,7500000
1557,7600000
1558,7500000
1559,4900000
1560,5900000
1561,6000000
1562,7079000
1563,5950000
1564,6500000
1565,8100000
1566,8800000
1567,10500000
1568,2000000
1569,4220000
1570,2500000
1571,5200000
1572,6000000
1573,990000
1574,8400000
1575,17400000
1576,7400000
1577,5490000
1578,12300000
1579,827400
1580,3600000
1581,1000000
1582,2000000
1583,4387129
1584,3433333
1585,12220560
1586,7300000
1587,5600000
1588,1000000
1589,3900000
1590,2700000
1591,8250000
1592,58200000
1593,1000000
1594,1000000
1595,5700000
1596,338570
1597,6200000
1598,6800000
1599,12500000
1600,8700000
1601,7533333
1602,7038000
1603,5900000
1604,2000000
1605,9500000
1606,6750000
1607,8500000
1608,14400000
1609,6050000
1610,1050000
1611,5400000
1612,4710000
1613,6950000
1614,5450000
1615,4000000
1616,5650000
1617,5300000
1618,10050000
1619,7800000
1620,6600000
1621,5800000
1622,500000
1623,11300000
1624,5000000
1625,4600000
1626,990000
1627,9900000
1628,990000
1629,9150000
1630,7800000
1631,6950000
1632,20690584
1633,2000000
1634,6500000
1635,5900000
1636,13100000
1637,1000000
1638,25300000
1639,3000000
1640,3000000
1641,11000000
1642,5000000
1643,4900000
1644,2000000
1645,5850000
1646,4200000
1647,6300000
1648,8500000
1649,14500000
1650,6302400
1651,5500000
1652,12500000
1653,6800000
1654,990000
1655,10800000
1656,4370000
1657,6150000
1658,6200000
1659,5100000
1660,16700000
1661,6900000
1662,5900000
1663,6150000
1664,14298700
1665,5400000
1666,5650000
1667,10300000
1668,5200000
1669,2000000
1670,6900000
1671,4900000
1672,12400000
1673,5700000
1674,4666666
1675,5350000
1676,7050000
1677,4300000
1678,11842800
1679,1000000
1680,2000000
1681,5400000
1682,5955840
1683,6600000
1684,2000000
1685,7650000
1686,3321833
1687,6300000
1688,1000000
1689,6400000
1690,6400000
1691,6400000
1692,5700000
1693,24898258
1694,6250000
1695,10227235
1696,6000000
1697,14122380
1698,5200000
1699,3690000
1700,5550000
1701,6200000
1702,3000000
1703,6515154
1704,3000000
1705,5750000
1706,12939000
1707,9000000
1708,6300000
1709,8500000
1710,7500000
1711,7300000
1712,6300000
1713,6100000
1714,5800000
1715,5200000
1716,14000000
1717,1739100
1718,5900000
1719,15500000
1720,5250000
1721,8000000
1722,6700000
1723,6900000
1724,1000000
1725,4800000
1726,2000000
1727,6950000
1728,7700000
1729,5400000
1730,5100000
1731,5100000
1732,1050000
1733,10750000
1734,5300000
1735,3000000
1736,4000000
1737,6686200
1738,4900000
1739,16500000
1740,4500000
1741,10450000
1742,7400000
1743,7700000
1744,6350000
1745,8900000
1746,6600000
1747,5000000
1748,5400000
1749,11900000
1750,5800000
1751,8350000
1752,1000000
1753,1000000
1754,5250000
1755,7390000
1756,11500000
1757,6700000
1758,5500000
1759,779396
1760,8400000
1761,5700000
1762,11597174
1763,8700000
1764,11500000
1765,1000000
1766,5000000
1767,8650000
1768,10200000
1769,8450000
1770,990000
1771,7300000
1772,6350000
1773,6850000
1774,1000000
1775,4950000
1776,990000
1777,21500000
1778,990000
1779,6200000
1780,5000000
1781,7100000
1782,8500000
1783,7400000
1784,4900000
1785,13900000
1786,8700000
1787,1000000
1788,7019600
1789,7100000
1790,6700000
1791,10100000
1792,8200000
1793,5500000
1794,4500000
1795,5900000
1796,7350000
1797,7100000
1798,4500000
1799,6600000
1800,11850000
1801,1000000
1802,4500000
1803,3000000
1804,5800000
1805,4000000
1806,15228000
1807,3400000
1808,5500000
1809,6400000
1810,6300000
1811,1000000
1812,6950000
1813,1200000
1814,7000000
1815,18000000
1816,8000000
1817,3900000
1818,6500000
1819,13552000
1820,15000000
1821,5600000
1822,5200000
1823,6400000
1824,8700000
1825,7800000
1826,6030000
1827,6200000
1828,2000000
1829,7100000
1830,6900000
1831,5500000
1832,3000000
1833,7600000
1834,5950000
1835,1100000
1836,5450000
1837,10800000
1838,5200000
1839,10000000
1840,6200000
1841,1500000
1842,7700000
1843,7550000
1844,990000
1845,16000000
1846,4950000
1847,4280000
1848,6000000
1849,7500000
1850,34000000
1851,7600000
1852,4850000
1853,5050000
1854,7200000
1855,2500000
1856,5800000
1857,1000000
1858,14280672
1859,12000000
1860,999000
1861,1216715
1862,2000000
1863,5900000
1864,12906284
1865,9100000
1866,5100000
1867,5300000
1868,6600000
1869,1000000
1870,5050000
1871,2000000
1872,4400000
1873,4990000
1874,5150000
1875,6000000
1876,6120000
1877,4800000
1878,5150000
1879,6350000
1880,21200000
1881,26000000
1882,7850000
1883,5950000
1884,9300000
1885,5700000
1886,5500000
1887,7254697
1888,6500000
1889,6095200
1890,7800000
1891,5300000
1892,14750000
1893,8500000
1894,5400000
1895,5500000
1896,5400000
1897,7600000
1898,990000
1899,7200000
1900,6900000
1901,12500000
1902,5300000
1903,4900000
1904,5400000
1905,2000000
1906,1100000
1907,9500000
1908,6700000
1909,2000000
1910,10300000
1911,6800000
1912,7000000
1913,14650000
1914,4300000
1915,1000000
1916,6600000
1917,6100000
1918,7000000
1919,3950000
1920,1000000
1921,5700000
1922,5500000
1923,6800000
1924,1000000
1925,7500000
1926,4500000
1927,6520000
1928,10100000
1929,10000000
1930,4750000
1931,11172000
1932,5300000
1933,5700000
1934,6000000
1935,11000000
1936,12460000
1937,6700000
1938,10500000
1939,7200000
1940,4290000
1941,4000000
1942,3891000
1943,40500000
1944,1000000
1945,9350000
1946,9500000
1947,11700000
1948,6400000
1949,8600000
1950,2000000
1951,6300000
1952,4800000
1953,2600000
1954,7200000
1955,1200000
1956,9025000
1957,10300000
1958,7650000
1959,2000000
1960,410000
1961,1000000
1962,9000000
1963,10000000
1964,1000000
1965,1000000
1966,12800000
1967,5100000
1968,5750000
1969,3000000
1970,6200000
1971,1500000
1972,11950000
1973,5700000
1974,6100000
1975,6300000
1976,7300000
1977,6250000
1978,990000
1979,5350000
1980,7400000
1981,16800000
1982,4800000
1983,5300000
1984,2000000
1985,20270472
1986,1000000
1987,6900000
1988,7800000
1989,7800000
1990,5000000
1991,7400000
1992,8700000
1993,9400000
1994,7900000
1995,12725000
1996,4850000
1997,7400000
1998,8400000
1999,990000
2000,6500000
2001,8300000
2002,4950000
2003,6000000
2004,10900000
2005,8900000
2006,11000000
2007,8800000
2008,5900000
2009,5770000
2010,1000000
2011,13000000
2012,6401000
2013,2750000
2014,9250000
2015,1500000
2016,5300000
2017,6400000
2018,3166667
2019,6900000
2020,4735000
2021,12260640
2022,2235600
2023,7870000
2024,8300000
2025,11400000
2026,6150000
2027,4081770
2028,6850000
2029,6200000
2030,2000000
2031,5900000
2032,10800000
2033,11138400
2034,9200000
2035,5750000
2036,5300000
2037,7500000
2038,5800000
2039,5200000
2040,4550000
2041,12865000
2042,2960370
2043,6000000
2044,5550000
2045,1000000
2046,5900000
2047,9000000
2048,3000000
2049,24000000
2050,8000000
2051,1990000
2052,2400000
2053,4400000
2054,990000
2055,19376000
2056,4800000
2057,5500000
2058,6300000
2059,7500000
2060,5300000
2061,5000000
2062,6500000
2063,990000
2064,3000000
2065,6100000
2066,10700000
2067,1000000
2068,4052000
2069,6831825
2070,4950000
2071,4500000
2072,7600000
2073,500000
2074,990000
2075,2850000
2076,5650000
2077,6100000
2078,11300000
2079,6600000
2080,5500000
2081,10507250
2082,13000000
2083,5200000
2084,5050000
2085,4300000
2086,3000000
2087,8900000
2088,12000000
2089,6000000
2090,9300000
2091,2000000
2092,5400000
2093,8100000
2094,9300000
2095,8800000
2096,9450000
2097,720000
2098,2725000
2099,1000000
2100,5850000
2101,6000000
2102,10248000
2103,5300000
2104,6200000
2105,16800000
2106,13800000
2107,6250000
2108,2000000
2109,2000000
2110,12500000
2111,7300000
2112,5600000
2113,6500000
2114,6200000
2115,6400000
2116,3000000
2117,1000000
2118,111111112
2119,5750000
2120,6100000
2121,15000000
2122,7144000
2123,12850000
2124,9750000
2125,13136400
2126,8300000
2127,6100000
2128,6600000
2129,6150000
2130,1000000
2131,2000000
2132,5300000
2133,7800000
2134,15400000
2135,5100000
2136,5400000
2137,6300000
2138,1000000
2139,8900000
2140,6900000
2141,9000000
2142,1000000
2143,3600000
2144,10246294
2145,6260000
2146,6400000
2147,6200000
2148,5200000
2149,9550000
2150,5300000
2151,4500000
2152,5800000
2153,4200000
